,Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
19138,92,93,8,8,84,85,12,Train/12/00012_00025_00028.png
21703,70,61,7,6,64,56,13,Train/13/00013_00041_00013.png
32087,62,58,5,6,57,53,31,Train/31/00031_00000_00017.png
19762,47,49,6,6,42,44,12,Train/12/00012_00046_00022.png
13970,57,56,6,5,51,51,9,Train/9/00009_00013_00020.png
32376,32,31,5,6,27,26,31,Train/31/00031_00010_00006.png
4487,44,43,6,5,39,38,2,Train/2/00002_00056_00017.png
9075,41,40,6,5,36,35,5,Train/5/00005_00021_00015.png
15448,99,107,8,10,91,98,10,Train/10/00010_00013_00028.png
27770,69,62,7,6,63,57,23,Train/23/00023_00002_00020.png
30106,53,49,5,6,48,44,26,Train/26/00026_00004_00016.png
17386,63,57,6,6,57,52,11,Train/11/00011_00011_00016.png
37118,41,42,5,5,36,37,38,Train/38/00038_00037_00009.png
9188,30,30,5,5,25,25,5,Train/5/00005_00025_00008.png
28347,129,119,11,10,118,109,24,Train/24/00024_00004_00027.png
37239,31,33,6,5,26,28,38,Train/38/00038_00041_00010.png
31843,53,50,5,6,48,45,30,Train/30/00030_00007_00013.png
34889,29,28,6,5,24,23,35,Train/35/00035_00023_00000.png
1603,40,40,6,6,35,35,1,Train/1/00001_00034_00013.png
36216,35,37,5,6,29,32,38,Train/38/00038_00007_00007.png
34130,73,73,7,7,67,67,34,Train/34/00034_00011_00021.png
29133,42,39,6,5,37,34,25,Train/25/00025_00022_00003.png
34358,31,31,5,5,26,26,35,Train/35/00035_00005_00009.png
33857,46,44,6,6,41,38,34,Train/34/00034_00002_00018.png
21701,64,60,5,6,59,55,13,Train/13/00013_00041_00011.png
8380,33,33,5,6,27,27,4,Train/4/00004_00064_00010.png
30602,38,36,6,6,33,31,27,Train/27/00027_00001_00002.png
18009,46,45,6,5,40,40,11,Train/11/00011_00032_00009.png
8508,37,37,6,5,32,32,5,Train/5/00005_00002_00018.png
12447,51,52,5,6,46,47,8,Train/8/00008_00009_00027.png
23319,44,44,6,5,39,39,14,Train/14/00014_00023_00009.png
30498,50,42,6,5,44,37,26,Train/26/00026_00017_00018.png
11468,32,32,6,6,27,27,7,Train/7/00007_00025_00008.png
15327,58,59,5,6,53,54,10,Train/10/00010_00009_00027.png
38697,92,92,9,9,84,84,40,Train/40/00040_00010_00028.png
15488,34,34,6,5,29,29,10,Train/10/00010_00015_00008.png
37107,122,121,11,10,112,111,38,Train/38/00038_00036_00028.png
21398,33,31,6,6,28,26,13,Train/13/00013_00031_00008.png
